time_since_TG_s,397_magnetic_lat_deg,397_magnetic_lon_deg,398_magnetic_lat_deg,398_magnetic_lon_deg
0.000000,,,,
0.050000,,,,
0.100000,,,,
0.150000,,,,
0.200000,,,,
0.250000,,,,
0.300000,,,,
0.350000,,,,
0.400000,,,,
0.450000,,,,
0.500000,,,,
0.550000,,,,
0.600000,65.24304962,-90.75701141,,
0.650000,65.24305725,-90.75701141,,
0.700000,65.24306488,-90.75701141,,
0.750000,65.24307251,-90.75701904,,
0.800000,65.24308014,-90.75701904,,
0.850000,65.24308777,-90.75701904,,
0.900000,65.24309540,-90.75701904,,
0.950000,65.24310303,-90.75701904,,
1.000000,65.24311066,-90.75701904,,
1.050000,65.24312592,-90.75702667,,
1.100000,65.24313354,-90.75702667,,
1.150000,65.24314880,-90.75702667,,
1.200000,65.24316406,-90.75702667,,
1.250000,65.24317932,-90.75702667,,
1.300000,65.24319458,-90.75703430,,
1.350000,65.24320984,-90.75703430,,
1.400000,65.24322510,-90.75704193,,
1.450000,65.24324799,-90.75704193,,
1.500000,65.24327087,-90.75704193,,
1.550000,65.24328613,-90.75704956,,
1.600000,65.24330902,-90.75704956,,
1.650000,65.24333191,-90.75705719,,
1.700000,65.24335480,-90.75705719,,
1.750000,65.24337769,-90.75705719,,
1.800000,65.24340820,-90.75706482,,
1.850000,65.24343109,-90.75707245,,
1.900000,65.24346161,-90.75707245,,
1.950000,65.24349213,-90.75708008,,
2.000000,65.24352264,-90.75708008,,
2.050000,65.24355316,-90.75708771,,
2.100000,65.24358368,-90.75709534,,
2.150000,65.24361420,-90.75709534,,
2.200000,65.24365234,-90.75710297,,
2.250000,65.24369049,-90.75711060,,
2.300000,65.24372864,-90.75711823,,
2.350000,65.24376678,-90.75712585,,
2.400000,65.24380493,-90.75713348,,
2.450000,65.24384308,-90.75714111,,
2.500000,65.24388885,-90.75714111,,
2.550000,65.24392700,-90.75714874,,
2.600000,65.24397278,-90.75715637,,
2.650000,65.24402618,-90.75716400,,
2.700000,65.24407196,-90.75717163,,
2.750000,65.24412537,-90.75718689,,
2.800000,65.24417114,-90.75719452,,
2.850000,65.24422455,-90.75720215,,
2.900000,65.24427032,-90.75720978,,
2.950000,65.24433136,-90.75721741,,
3.000000,65.24438477,-90.75722504,,
3.050000,65.24443817,-90.75723267,,
3.100000,65.24449921,-90.75724792,,
3.150000,65.24455261,-90.75725555,,
3.200000,65.24461365,-90.75726318,,
3.250000,65.24468231,-90.75727081,,
3.300000,65.24474335,-90.75727844,,
3.350000,65.24481201,-90.75729370,,
3.400000,65.24487305,-90.75730133,,
3.450000,65.24494171,-90.75730896,,
3.500000,65.24501801,-90.75731659,,
3.550000,65.24508667,-90.75732422,,
3.600000,65.24516296,-90.75733948,,
3.650000,65.24523163,-90.75734711,,
3.700000,65.24530792,-90.75735474,,
3.750000,65.24538422,-90.75736237,,
3.800000,65.24546814,-90.75737762,,
3.850000,65.24554443,-90.75738525,,
3.900000,65.24562836,-90.75739288,,
3.950000,65.24571228,-90.75740051,,
4.000000,65.24579620,-90.75741577,,
4.050000,65.24588776,-90.75742340,,
4.100000,65.24597168,-90.75743103,,
4.150000,65.24606323,-90.75743866,,
4.200000,65.24614716,-90.75745392,,
4.250000,65.24624634,-90.75746155,,
4.300000,65.24633789,-90.75746918,,
4.350000,65.24642944,-90.75747681,,
4.400000,65.24652100,-90.75748444,,
4.450000,65.24662018,-90.75749207,,
4.500000,65.24671936,-90.75750732,,
4.550000,65.24681854,-90.75751495,,
4.600000,65.24691772,-90.75752258,,
4.650000,65.24702454,-90.75753021,,
4.700000,65.24712372,-90.75753784,,
4.750000,65.24723053,-90.75754547,,
4.800000,65.24733734,-90.75756073,,
4.850000,65.24744415,-90.75756836,,
4.900000,65.24755096,-90.75757599,,
4.950000,65.24765778,-90.75758362,,
5.000000,65.24777222,-90.75759888,,
5.050000,65.24788666,-90.75760651,,
5.100000,65.24800110,-90.75761414,,
5.150000,65.24811554,-90.75762939,,
5.200000,65.24822998,-90.75763702,,
5.250000,65.24834442,-90.75764465,,
5.300000,65.24846649,-90.75765991,,
5.350000,65.24858093,-90.75766754,,
5.400000,65.24870300,-90.75767517,,
5.450000,65.24882507,-90.75768280,,
5.500000,65.24894714,-90.75769806,,
5.550000,65.24907684,-90.75770569,,
5.600000,65.24919891,-90.75771332,,
5.650000,65.24932861,-90.75772858,,
5.700000,65.24945831,-90.75773621,,
5.750000,65.24958801,-90.75774384,,
5.800000,65.24971771,-90.75775146,,
5.850000,65.24984741,-90.75776672,,
5.900000,65.24997711,-90.75777435,,
5.950000,65.25011444,-90.75778961,,
6.000000,65.25025177,-90.75779724,,
6.050000,65.25038910,-90.75780487,,
6.100000,65.25052643,-90.75782013,,
6.150000,65.25066376,-90.75783539,,
6.200000,65.25080109,-90.75784302,,
6.250000,65.25094604,-90.75785828,,
6.300000,65.25108337,-90.75786591,,
6.350000,65.25122070,-90.75788116,,
6.400000,65.25135803,-90.75788879,,
6.450000,65.25149536,-90.75790405,,
6.500000,65.25164032,-90.75791168,,
6.550000,65.25177765,-90.75791931,,
6.600000,65.25191498,-90.75793457,,
6.650000,65.25205231,-90.75794220,,
6.700000,65.25218964,-90.75795746,,
6.750000,65.25232697,-90.75796509,,
6.800000,65.25246429,-90.75797272,,
6.850000,65.25259399,-90.75798798,,
6.900000,65.25273132,-90.75799561,,
6.950000,65.25286865,-90.75801086,,
7.000000,65.25300598,-90.75801849,,
7.050000,65.25314331,-90.75803375,,
7.100000,65.25328064,-90.75804138,,
7.150000,65.25341034,-90.75804901,,
7.200000,65.25354767,-90.75806427,,
7.250000,65.25368500,-90.75807953,,
7.300000,65.25382233,-90.75808716,,
7.350000,65.25395203,-90.75809479,,
7.400000,65.25408936,-90.75811005,,
7.450000,65.25421906,-90.75811768,,
7.500000,65.25435638,-90.75813293,,
7.550000,65.25448608,-90.75814056,,
7.600000,65.25462341,-90.75814819,,
7.650000,65.25475311,-90.75816345,,
7.700000,65.25488281,-90.75817108,,
7.750000,65.25502014,-90.75817871,,
7.800000,65.25514984,-90.75819397,,
7.850000,65.25527954,-90.75820160,,
7.900000,65.25541687,-90.75821686,,
7.950000,65.25554657,-90.75822449,,
8.000000,65.25567627,-90.75823212,,
8.050000,65.25580597,-90.75824738,,
8.100000,65.25593567,-90.75825500,,
8.150000,65.25606537,-90.75826263,,
8.200000,65.25619507,-90.75827789,,
8.250000,65.25632477,-90.75828552,,
8.300000,65.25645447,-90.75829315,,
8.350000,65.25659180,-90.75830841,,
8.400000,65.25672150,-90.75831604,,
8.450000,65.25685120,-90.75833130,,
8.500000,65.25698090,-90.75833893,,
8.550000,65.25710297,-90.75834656,,
8.600000,65.25723267,-90.75836182,,
8.650000,65.25736237,-90.75836945,,
8.700000,65.25749207,-90.75837708,,
8.750000,65.25762177,-90.75839233,,
8.800000,65.25774384,-90.75839996,,
8.850000,65.25787354,-90.75840759,,
8.900000,65.25800323,-90.75842285,,
8.950000,65.25812531,-90.75843048,,
9.000000,65.25825500,-90.75843811,,
9.050000,65.25838470,-90.75845337,,
9.100000,65.25850677,-90.75846100,,
9.150000,65.25863647,-90.75846863,,
9.200000,65.25875854,-90.75847626,,
9.250000,65.25888824,-90.75849152,,
9.300000,65.25901031,-90.75849915,,
9.350000,65.25914001,-90.75850677,,
9.400000,65.25926208,-90.75852203,,
9.450000,65.25939178,-90.75852966,,
9.500000,65.25951385,-90.75853729,,
9.550000,65.25964355,-90.75855255,,
9.600000,65.25976562,-90.75856018,,
9.650000,65.25989532,-90.75856781,,
9.700000,65.26002502,-90.75858307,,
9.750000,65.26015472,-90.75859070,,
9.800000,65.26027679,-90.75859833,,
9.850000,65.26040649,-90.75861359,,
9.900000,65.26053619,-90.75862122,,
9.950000,65.26066589,-90.75863647,,
10.000000,65.26079559,-90.75864410,,
10.050000,65.26092529,-90.75865936,,
10.100000,65.26106262,-90.75866699,,
10.150000,65.26119232,-90.75867462,,
10.200000,65.26132202,-90.75868988,,
10.250000,65.26145935,-90.75869751,,
10.300000,65.26158905,-90.75871277,,
10.350000,65.26172638,-90.75872803,,
10.400000,65.26185608,-90.75873566,,
10.450000,65.26199341,-90.75875092,,
10.500000,65.26213074,-90.75875854,,
10.550000,65.26226807,-90.75877380,,
10.600000,65.26239777,-90.75878906,,
10.650000,65.26253510,-90.75879669,,
10.700000,65.26267242,-90.75881195,,
10.750000,65.26280975,-90.75882721,,
10.800000,65.26294708,-90.75883484,,
10.850000,65.26308441,-90.75885010,,
10.900000,65.26322174,-90.75886536,,
10.950000,65.26336670,-90.75887299,,
11.000000,65.26350403,-90.75888824,,
11.050000,65.26364136,-90.75890350,,
11.100000,65.26378632,-90.75891113,,
11.150000,65.26392365,-90.75892639,,
11.200000,65.26406860,-90.75894165,,
11.250000,65.26420593,-90.75895691,,
11.300000,65.26435089,-90.75897217,,
11.350000,65.26449585,-90.75897980,,
11.400000,65.26464081,-90.75899506,,
11.450000,65.26477814,-90.75901031,,
11.500000,65.26492310,-90.75902557,,
11.550000,65.26506805,-90.75904083,,
11.600000,65.26521301,-90.75905609,,
11.650000,65.26536560,-90.75907135,,
11.700000,65.26551056,-90.75908661,,
11.750000,65.26565552,-90.75910187,,
11.800000,65.26580048,-90.75911713,,
11.850000,65.26595306,-90.75913239,,
11.900000,65.26609802,-90.75914764,,
11.950000,65.26624298,-90.75916290,,
12.000000,65.26639557,-90.75917816,,
12.050000,65.26654816,-90.75920105,,
12.100000,65.26669312,-90.75921631,,
12.150000,65.26684570,-90.75923157,,
12.200000,65.26699829,-90.75924683,,
12.250000,65.26715088,-90.75926208,,
12.300000,65.26729584,-90.75927734,,
12.350000,65.26744843,-90.75930023,,
12.400000,65.26760864,-90.75931549,,
12.450000,65.26776123,-90.75933075,,
12.500000,65.26791382,-90.75935364,,
12.550000,65.26806641,-90.75936890,,
12.600000,65.26821899,-90.75938416,,
12.650000,65.26837921,-90.75940704,,
12.700000,65.26853180,-90.75942230,,
12.750000,65.26869202,-90.75944519,,
12.800000,65.26885223,-90.75946045,,
12.850000,65.26900482,-90.75947571,,
12.900000,65.26916504,-90.75949860,,
12.950000,65.26932526,-90.75951385,,
13.000000,65.26948547,-90.75953674,,
13.050000,65.26964569,-90.75955963,,
13.100000,65.26980591,-90.75957489,,
13.150000,65.26996613,-90.75959778,,
13.200000,65.27012634,-90.75961304,,
13.250000,65.27028656,-90.75963593,,
13.300000,65.27044678,-90.75965881,,
13.350000,65.27061462,-90.75967407,,
13.400000,65.27077484,-90.75969696,,
13.450000,65.27093506,-90.75971985,,
13.500000,65.27110291,-90.75974274,,
13.550000,65.27127075,-90.75975800,,
13.600000,65.27143097,-90.75978088,,
13.650000,65.27159882,-90.75980377,,
13.700000,65.27176666,-90.75982666,,
13.750000,65.27193451,-90.75984955,,
13.800000,65.27210236,-90.75987244,,
13.850000,65.27227783,-90.75989532,,
13.900000,65.27244568,-90.75991821,,
13.950000,65.27261353,-90.75994110,,
14.000000,65.27278137,-90.75996399,,
14.050000,65.27295685,-90.75998688,,
14.100000,65.27312469,-90.76001740,,
14.150000,65.27330017,-90.76004028,,
14.200000,65.27347565,-90.76006317,,
14.250000,65.27364349,-90.76008606,,
14.300000,65.27381897,-90.76010895,,
14.350000,65.27399445,-90.76013947,,
14.400000,65.27416992,-90.76016235,,
14.450000,65.27434540,-90.76019287,,
14.500000,65.27452087,-90.76021576,,
14.550000,65.27470398,-90.76023865,,
14.600000,65.27487946,-90.76026917,,
14.650000,65.27505493,-90.76029205,,
14.700000,65.27523804,-90.76032257,,
14.750000,65.27542114,-90.76034546,,
14.800000,65.27559662,-90.76037598,,
14.850000,65.27577972,-90.76040649,,
14.900000,65.27596283,-90.76042938,,
14.950000,65.27614594,-90.76045990,,
15.000000,65.27632904,-90.76049042,,
15.050000,65.27651215,-90.76052094,,
15.100000,65.27670288,-90.76055145,,
15.150000,65.27688599,-90.76057434,,
15.200000,65.27706909,-90.76060486,,
15.250000,65.27725983,-90.76063538,,
15.300000,65.27744293,-90.76066589,,
15.350000,65.27763367,-90.76069641,,
15.400000,65.27782440,-90.76073456,,
15.450000,65.27801514,-90.76076508,,
15.500000,65.27820587,-90.76079559,,
15.550000,65.27839661,-90.76082611,,
15.600000,65.27858734,-90.76085663,,
15.650000,65.27877808,-90.76088715,,
15.700000,65.27897644,-90.76092529,,
15.750000,65.27916718,-90.76095581,,
15.800000,65.27936554,-90.76099396,,
15.850000,65.27955627,-90.76102448,,
15.900000,65.27975464,-90.76106262,,
15.950000,65.27995300,-90.76109314,,
16.000000,65.28015137,-90.76113129,,
